entry_utc,coin,direction,leverage,entry_price,sl_price,tp_price,margin,actual_roi%,actual_pnl,actual_exit,sim_status,sim_roi%,sim_pnl,sim_exit,block_reason,news_override
2026-04-14 22:19,LDO,LONG,8,0.3504,0.3445,0.361,350.31,3.0,10.4,TIME_EXIT,EXECUTED,2.7,7.36,TIME_EXIT,,False
2026-04-14 22:19,BTC,LONG,10,74074.1,73598.693,74929.8326,348.15,6.3,21.83,TIME_EXIT,EXECUTED,7.3,22.56,TIME_EXIT,,False
2026-04-14 22:30,LINK,LONG,8,8.9878,8.9167,9.1158,349.4,8.3,28.92,TIME_EXIT,EXECUTED,11.4,37.57,TARGET_HIT,,False
2026-04-14 22:30,ETH,LONG,8,2313.29,2295.2393,2345.7813,346.99,7.0,24.43,TIME_EXIT,EXECUTED,7.7,24.62,TIME_EXIT,,False
2026-04-14 22:32,AVAX,LONG,8,9.311,9.2327,9.452,350.33,4.3,15.05,TIME_EXIT,EXECUTED,4.2,12.51,TIME_EXIT,,False
2026-04-14 23:16,SOL,SHORT,8,83.61,84.2782,82.2736,350.12,-1.3,-4.69,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-14 23:18,PENDLE,SHORT,8,1.046,1.0552,1.0276,350.02,-7.0,-26.87,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-14 23:40,XRP,SHORT,8,1.3624,1.3712,1.3447,349.97,4.5,15.62,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+3.1% 1d=-0.4% -> no SHORT,False
2026-04-15 00:06,ADA,SHORT,8,0.2405,0.2426,0.2364,350.02,4.0,13.97,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=+0.5% -> no SHORT,False
2026-04-15 00:06,BNB,SHORT,8,615.4,618.4442,609.3117,353.85,-3.9,-15.93,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=+0.5% -> no SHORT,False
2026-04-15 02:13,PENDLE,SHORT,8,1.0502,1.0607,1.0291,351.69,0.7,2.41,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.1% 1d=-0.0% -> no SHORT,False
2026-04-15 02:26,BTC,LONG,8,74351.0,73840.7244,75371.5513,353.17,-3.5,-12.44,TIME_EXIT,EXECUTED,-3.5,-14.78,TIME_EXIT,,False
2026-04-15 02:31,AVAX,LONG,8,9.311,9.2258,9.4815,351.49,4.0,14.19,TIME_EXIT,EXECUTED,3.4,9.53,TIME_EXIT,,False
2026-04-15 03:33,ADA,SHORT,8,0.2399,0.2417,0.2362,353.37,-6.0,-23.34,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=-0.1% -> no SHORT,False
2026-04-15 03:56,LINK,SHORT,8,9.0638,9.1347,8.922,352.36,3.1,10.82,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=-0.1% -> no SHORT,False
2026-04-15 04:02,ETH,SHORT,8,2329.93,2349.1419,2291.5063,349.49,4.6,15.92,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+3.9% 1d=-0.1% -> no SHORT,False
2026-04-15 04:12,CRV,LONG,8,0.2182,0.2165,0.2216,353.27,-5.9,-23.82,STOP_LOSS,EXECUTED,-6.2,-24.28,STOP_LOSS,,False
2026-04-15 05:22,BNB,LONG,8,613.95,611.2847,619.2805,353.02,0.8,0.6,TARGET_HIT,EXECUTED,-3.5,-14.52,STOP_LOSS,,False
2026-04-15 05:55,LDO,LONG,7,0.3481,0.3443,0.3556,351.53,-13.3,-48.35,STOP_LOSS,EXECUTED,15.1,51.05,TARGET_HIT,,False
2026-04-15 06:05,POL,LONG,8,0.0831,0.0826,0.0842,351.55,-5.1,-20.81,STOP_LOSS,EXECUTED,10.6,34.98,TARGET_HIT,,False
2026-04-15 21:16,ETH,LONG,8,2352.84,2337.8756,2382.7688,352.93,-1.0,-6.48,STOP_LOSS,EXECUTED,2.6,7.03,TIME_EXIT,,False
2026-04-15 21:16,BTC,LONG,8,74632.1,74247.7959,75400.7081,354.5,-0.4,-4.43,STOP_LOSS,EXECUTED,8.2,26.94,TARGET_HIT,,False
2026-04-15 22:25,CRV,LONG,8,0.2235,0.2214,0.2276,349.97,-7.5,-28.39,STOP_LOSS,EXECUTED,-7.5,-28.55,STOP_LOSS,,False
2026-04-15 23:01,LINK,LONG,8,9.26,9.1949,9.3902,349.56,-1.4,-4.83,TIME_EXIT,EXECUTED,1.7,3.8,TIME_EXIT,,False
2026-04-15 23:15,LDO,SHORT,7,0.3748,0.3819,0.3606,344.17,25.1,84.58,TARGET_HIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+5.3% 1d=+0.9% -> no SHORT,False
2026-04-15 23:16,ETH,LONG,8,2355.93,2340.6554,2386.4792,353.39,-1.7,-5.93,TIME_EXIT,EXECUTED,0.3,-1.36,TIME_EXIT,,False
2026-04-15 23:16,BNB,LONG,8,622.05,619.6375,626.8749,349.9,0.3,1.12,TIME_EXIT,EXECUTED,2.8,7.44,TIME_EXIT,,False
2026-04-15 23:36,ADA,LONG,8,0.2453,0.2433,0.2492,349.98,8.8,30.82,TIME_EXIT,EXECUTED,12.7,42.27,TARGET_HIT,,False
2026-04-16 01:06,UNI,LONG,8,3.1993,3.1752,3.2474,349.92,12.3,40.75,TARGET_HIT,EXECUTED,12.0,39.85,TARGET_HIT,,False
2026-04-16 01:06,AVAX,LONG,8,9.3506,9.277,9.4978,349.48,12.7,42.43,TARGET_HIT,EXECUTED,12.6,41.78,TARGET_HIT,,False
2026-04-16 01:06,PENDLE,LONG,8,1.0866,1.0747,1.1103,349.89,17.4,58.92,TARGET_HIT,EXECUTED,17.4,58.81,TARGET_HIT,,False
2026-04-16 02:15,BTC,LONG,8,74572.0,74167.3156,75381.3687,354.22,4.0,14.06,TIME_EXIT,EXECUTED,5.1,15.65,TIME_EXIT,,False
2026-04-16 05:36,PENDLE,SHORT,7,1.1405,1.1513,1.119,349.97,-6.9,-25.91,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
2026-04-16 05:36,CRV,LONG,8,0.2253,0.2237,0.2284,351.55,-3.2,-14.31,STOP_LOSS,EXECUTED,-5.7,-22.22,STOP_LOSS,,False
2026-04-16 05:36,BNB,SHORT,8,624.36,626.5875,619.9051,351.2,3.5,12.42,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
2026-04-16 05:36,ETH,SHORT,8,2353.01,2366.3862,2326.2576,352.95,4.4,15.37,TIME_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+5.7% 1d=+1.4% -> no SHORT,False
2026-04-16 05:36,ADA,LONG,8,0.2497,0.2477,0.2537,353.23,-4.5,-15.84,TIME_EXIT,EXECUTED,-3.5,-14.71,TIME_EXIT,,False
2026-04-16 05:36,LINK,LONG,8,9.312,9.2573,9.4214,351.53,-4.7,-19.69,STOP_LOSS,EXECUTED,-4.7,-18.77,STOP_LOSS,,False
2026-04-16 05:36,AVAX,LONG,8,9.487,9.4199,9.6213,352.2,-2.7,-9.5,TIME_EXIT,EXECUTED,-3.1,-13.24,TIME_EXIT,,False
2026-04-16 05:36,BTC,LONG,8,74998.5,74647.1686,75701.1628,356.24,-3.8,-16.5,STOP_LOSS,EXECUTED,-3.7,-15.63,STOP_LOSS,,False
2026-04-16 06:58,LDO,LONG,7,0.3861,0.38,0.3983,349.97,-9.9,-37.43,STOP_LOSS,EXECUTED,22.1,75.45,TARGET_HIT,,False
2026-04-16 08:43,POL,SHORT,8,0.0869,0.0874,0.0858,349.99,-4.8,-20.25,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.8% -> no SHORT,False
2026-04-16 08:47,PENDLE,SHORT,8,1.1622,1.1745,1.1376,349.97,-8.4,-31.51,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.8% -> no SHORT,False
2026-04-16 09:13,UNI,SHORT,7,3.264,3.2849,3.2223,349.71,-3.9,-16.2,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.8% -> no SHORT,False
2026-04-16 10:04,ETH,LONG,8,2335.0,2322.0669,2360.8663,350.25,-2.0,-7.0,PROFI_EXIT,EXECUTED,-4.4,-17.76,STOP_LOSS,,False
2026-04-16 10:13,XRP,SHORT,8,1.4098,1.4184,1.3926,350.86,-4.8,-20.02,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13,BNB,SHORT,8,619.4,621.5879,615.0242,348.41,-2.7,-12.52,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13,CRV,SHORT,8,0.222,0.2233,0.2194,348.73,-4.3,-18.16,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 10:13,LDO,SHORT,7,0.3884,0.3939,0.3773,350.23,-2.5,-8.68,NEWS_REACTION,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,True
2026-04-16 10:13,LINK,SHORT,8,9.229,9.2869,9.1131,349.55,-5.1,-20.96,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.3% 1d=+0.6% -> no SHORT,False
2026-04-16 11:15,BTC,SHORT,8,74290.0,74595.1026,73679.7948,352.88,-3.3,-13.81,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.5% -> no SHORT,False
2026-04-16 11:30,AVAX,SHORT,8,9.42,9.4888,9.2823,349.72,-5.9,-22.6,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.8% 1d=+0.5% -> no SHORT,False
2026-04-16 12:04,SOL,SHORT,8,85.27,85.7218,84.3663,349.61,-4.0,-17.03,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.7% 1d=+0.5% -> no SHORT,False
2026-04-16 12:06,ADA,SHORT,8,0.2496,0.2515,0.2458,349.97,-6.1,-23.42,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.7% 1d=+0.5% -> no SHORT,False
2026-04-16 12:13,PENDLE,LONG,8,1.1669,1.1545,1.1916,353.57,16.9,56.73,TARGET_HIT,EXECUTED,16.9,57.61,TARGET_HIT,,False
2026-04-16 12:13,POL,LONG,8,0.0879,0.0873,0.0889,355.17,0.6,2.26,NEWS_REACTION,EXECUTED,-5.5,-21.67,STOP_LOSS,,True
2026-04-16 13:58,POL,SHORT,7,0.0875,0.088,0.0864,353.62,0.8,0.11,TARGET_HIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58,CRV,SHORT,8,0.2253,0.2269,0.2221,349.21,1.8,6.2,NEWS_REACTION,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,True
2026-04-16 13:58,LDO,SHORT,7,0.3968,0.4032,0.3841,351.39,-2.5,-11.39,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,False
2026-04-16 13:58,PENDLE,SHORT,7,1.1664,1.1806,1.138,348.92,0.2,0.63,NEWS_REACTION,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,True
2026-04-16 13:58,SOL,SHORT,8,84.4,84.8246,83.5508,350.26,1.7,5.87,NEWS_REACTION,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,True
2026-04-16 13:58,ETH,SHORT,8,2303.53,2314.047,2282.4959,345.53,-0.2,-0.65,NEWS_REACTION,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.2% 1d=-0.4% -> no SHORT,True
2026-04-16 14:36,CRV,SHORT,8,0.2242,0.2261,0.2204,349.98,-4.3,-18.08,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36,BNB,SHORT,8,617.5,619.9926,612.5149,347.34,-2.7,-12.51,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36,UNI,SHORT,8,3.264,3.2919,3.2082,349.66,-3.2,-14.24,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:36,BTC,SHORT,8,73921.9,74295.148,73175.4041,351.13,-4.1,-17.47,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 14:38,AVAX,SHORT,8,9.35,9.4372,9.1757,349.46,-7.4,-28.12,STOP_LOSS,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+4.0% 1d=-0.2% -> no SHORT,False
2026-04-16 15:08,LINK,SHORT,8,9.277,9.3525,9.1259,349.05,-3.6,-12.64,PROFI_EXIT,BLOCKED_MACRO,0.0,0.0,,MACRO: BTC 7d=+3.5% 1d=+1.2% -> no SHORT,False
2026-04-16 15:53,ADA,LONG,8,0.2529,0.2505,0.2578,355.17,5.7,20.22,NEWS_REACTION,EXECUTED,-7.6,-29.24,STOP_LOSS,,True
2026-04-16 15:53,SOL,LONG,8,86.62,85.9604,87.9393,352.98,1.7,2.52,TARGET_HIT,EXECUTED,-6.1,-23.76,STOP_LOSS,,False
2026-04-16 15:53,AVAX,LONG,8,9.586,9.4896,9.7788,354.68,1.4,5.03,NEWS_REACTION,EXECUTED,-8.0,-30.8,STOP_LOSS,,True
2026-04-16 15:53,LINK,LONG,8,9.418,9.3319,9.5901,353.17,2.7,9.6,NEWS_REACTION,EXECUTED,-7.3,-28.09,STOP_LOSS,,True
2026-04-16 15:53,BNB,LONG,8,624.4,621.4761,630.2478,351.22,3.3,11.7,NEWS_REACTION,EXECUTED,-3.7,-15.41,STOP_LOSS,,True
2026-04-16 15:54,PENDLE,LONG,7,1.2129,1.1944,1.2499,361.62,0.8,2.92,NEWS_REACTION,EXECUTED,-10.7,-40.63,STOP_LOSS,,True
2026-04-16 15:54,POL,LONG,8,0.0885,0.0878,0.09,352.94,0.8,2.87,NEWS_REACTION,EXECUTED,-6.3,-24.59,STOP_LOSS,,True
2026-04-16 15:54,ETH,LONG,8,2338.32,2322.566,2369.8281,350.75,0.7,2.32,NEWS_REACTION,EXECUTED,-5.4,-21.15,STOP_LOSS,,True
